model_name,threshold,precision,recall,f1_score,roc_auc,average_precision,tn,fp,fn,tp
MLP,0.21000000000000002,0.37879495562821114,0.6820857863751051,0.4870870870870871,0.8016661601380699,0.45468777659463744,3856,1330,378,811
LogisticRegression,0.5200000000000001,0.3410355156183141,0.6703111858704794,0.45207033465683494,0.7578432196146901,0.4089943541528842,3646,1540,392,797
Dummy,0.5,0.0,0.0,0.0,0.5,0.18650980392156863,5186,0,1189,0
