rank_by_f1,model,family,threshold_tuned_on_val,decision_threshold,val_best_f1,accuracy,precision,recall,f1_score,roc_auc,average_precision,tn,fp,fn,tp,interpretation_note
1,CatBoost,tree_boosting,True,0.5800000000000002,0.5207286432160804,0.7515294117647059,0.4035173424523693,0.6947014297729184,0.5105067985166872,0.8226182803737954,0.47947309372143976,3965,1221,363,826,"범주형 변수에 강점이 있지만, 현재 데이터에서는 numeric 집계 feature 기반 baseline으로 사용."
2,LightGBM,tree_boosting,True,0.5500000000000002,0.5156964340140201,0.7432156862745098,0.3958139534883721,0.7157275021026073,0.5097334531296795,0.8180791462555104,0.4649278365330882,3887,1299,338,851,tabular 데이터에 강한 tree boosting baseline.
3,XGBoost,tree_boosting,True,0.5800000000000002,0.5148331273176762,0.7474509803921568,0.3990407673860911,0.6997476871320437,0.5082467929138669,0.8208686484314209,0.48066148705619355,3933,1253,357,832,널리 쓰이는 tree boosting baseline.
4,MLP,neural_network,True,0.24000000000000005,0.5151231680698473,0.7504313725490196,0.40117994100294985,0.6862910008410429,0.5063605336642879,0.8179289716085586,0.46629696166841483,3968,1218,373,816,집계 특징 기반 비선형 신경망.
5,LogisticRegression,linear,True,0.5200000000000001,0.45500848896434637,0.6969411764705883,0.3410355156183141,0.6703111858704794,0.45207033465683494,0.7578432196146901,0.4089943541528842,3646,1540,392,797,해석 가능한 선형 baseline.
6,DummyClassifier,baseline,False,0.5,,0.8134901960784314,0.0,0.0,0.0,0.5,0.18650980392156863,5186,0,1189,0,최소 기준선. threshold tuning 없이 0.5 기준을 사용한다.
