experiment_name,n_features,features,threshold,val_best_f1,precision,recall,f1_score,roc_auc,average_precision,tn,fp,fn,tp
all_features,13,"total_orders_before_target, avg_gap_before_target, std_gap_before_target, min_gap_before_target, max_gap_before_target, recent_3_avg_gap, recent_5_avg_gap, last_gap_before_target, gap_trend, active_span_days, order_frequency, weekend_order_ratio, dow_variability",0.24000000000000005,0.5151231680698473,0.40117994100294985,0.6862910008410429,0.5063605336642879,0.8179289716085586,0.46629696166841483,3968,1218,373,816
drop_active_span_days,12,"total_orders_before_target, avg_gap_before_target, std_gap_before_target, min_gap_before_target, max_gap_before_target, recent_3_avg_gap, recent_5_avg_gap, last_gap_before_target, gap_trend, order_frequency, weekend_order_ratio, dow_variability",0.22000000000000003,0.5075528700906344,0.38758231420507994,0.6930193439865433,0.4971342383107089,0.8050493062612449,0.4469585398456303,3884,1302,365,824
drop_weak_time_features,11,"total_orders_before_target, avg_gap_before_target, std_gap_before_target, min_gap_before_target, max_gap_before_target, recent_3_avg_gap, recent_5_avg_gap, last_gap_before_target, gap_trend, active_span_days, order_frequency",0.23000000000000004,0.506953223767383,0.3939693524468611,0.6703111858704794,0.4962640099626401,0.8075427567978355,0.45201334178601843,3960,1226,392,797
recent_pattern_no_active_span,11,"recent_3_avg_gap, recent_5_avg_gap, last_gap_before_target, gap_trend, std_gap_before_target, avg_gap_before_target, max_gap_before_target, order_frequency, total_orders_before_target, weekend_order_ratio, dow_variability",0.21000000000000002,0.4843702579666161,0.37913125590179414,0.6753574432296047,0.4856365285757484,0.790362517705526,0.44454211722647397,3871,1315,386,803
recent_pattern_only,9,"recent_3_avg_gap, recent_5_avg_gap, last_gap_before_target, gap_trend, std_gap_before_target, avg_gap_before_target, max_gap_before_target, order_frequency, total_orders_before_target",0.24000000000000005,0.4823310601363918,0.38362282878411913,0.6501261564339781,0.48252184769038703,0.7892250177339067,0.4409948796141866,3944,1242,416,773
