rank_by_f1,accuracy,precision,recall,f1_score,roc_auc,average_precision,tn,fp,fn,tp,model,family,decision_threshold,val_best_f1,best_val_average_precision,epochs_trained,interpretation_note
1,0.7576470588235295,0.4116186693147964,0.6972245584524811,0.5176397127692788,0.822019446805902,0.47365321281812983,4001,1185,360,829,HybridGRU,deep_learning_hybrid_sequence,0.6100000000000001,0.5375118708452041,0.4764665418478533,25,LSTM보다 단순한 gate 구조로 sequence와 요약 변수를 결합하는 GRU 하이브리드 모델.
2,0.7432156862745098,0.39433962264150946,0.703111858704794,0.505288606829858,0.8116501793500454,0.4680147929323739,3902,1284,353,836,HybridTransformer,deep_learning_hybrid_sequence,0.5900000000000002,0.515438703760318,0.4676325067420591,18,self-attention 기반 sequence 표현과 고객 요약 변수를 결합하는 모델.
3,0.7538823529411764,0.40404040404040403,0.6728343145500421,0.5048911328494793,0.8176438668252528,0.47025692896641985,4006,1180,389,800,HybridLSTM,deep_learning_hybrid_sequence,0.5700000000000002,0.5319758192809417,0.47960293787500413,22,최근 주문 순서 패턴과 고객 요약 변수를 함께 반영하는 LSTM 하이브리드 모델.
4,0.7783529411764706,0.4324487334137515,0.6030277544154752,0.5036880927291886,0.8232244929335206,0.4796541692708176,4245,941,472,717,HybridBiGRU,deep_learning_hybrid_sequence,0.6700000000000002,0.540712019739161,0.47981336468354097,23,target 이전 sequence 전체를 양방향으로 요약한 뒤 고객 요약 변수와 결합하는 모델.
5,0.7684705882352941,0.4195176668536175,0.6291000841042893,0.5033647375504711,0.8135586623363608,0.4648811222864868,4151,1035,441,748,HybridTCN,deep_learning_hybrid_sequence,0.6200000000000001,0.5245130960376091,0.46948755301621153,20,시간축 convolution으로 최근 주문 간격 패턴을 잡고 고객 요약 변수와 결합하는 모델.
6,0.7582745098039215,0.40727081138040044,0.6501261564339781,0.5008098477486232,0.8091306996224876,0.4644175898439731,4061,1125,416,773,HybridMLP_Flatten,deep_learning_hybrid,0.6200000000000001,0.5157687253613666,0.4644916143831881,16,최근 주문 sequence를 펼친 표현과 고객 요약 변수를 함께 사용하는 MLP.
7,0.7700392156862745,0.42053930005737233,0.616484440706476,0.5,0.814715947736628,0.46720959662223727,4176,1010,456,733,TabularDeepMLP,deep_learning_tabular,0.6300000000000001,0.5166609412572999,0.46676205243148233,24,기존 고객 요약 변수만 사용하는 PyTorch MLP 기준선.
