error_group,samples,avg_prob,positive_rate,avg_target_gap,median_target_gap
FN,360,0.4281140920138889,1.0,23.294444444444444,22.0
FP,1185,0.743091507392405,0.0,8.322362869198312,8.0
TN,4001,0.21946496389894526,0.0,5.958510372406899,6.0
TP,829,0.7755477147406514,1.0,25.34258142340169,27.0
