model_name,setting,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,ap_mean,ap_std
LogisticRegression,baseline,0.3475427371322991,0.01762195959845989,0.6277544154751893,0.062247402155491315,0.4456281605681764,0.004772978201587275,0.7568627056670982,0.007018483027823201,0.3982316000903362,0.01202498166470103
MLP,"hidden=(128, 64), alpha=0.0001, lr=0.001, batch=64.0",0.3976984112851753,0.009004204167600328,0.7113540790580319,0.0259663054908935,0.5099604722970736,0.008531312847672189,0.816078223151741,0.005593456013217488,0.45986108548376425,0.01268551636494459
MLP,"hidden=(64, 32), alpha=0.0001, lr=0.001, batch=64.0",0.38266800297463377,0.014885027495292748,0.7313708999158958,0.037765541869248125,0.5017431562740302,0.007351673516457497,0.8117454088885877,0.006431325753003305,0.45391562389790935,0.010036446668735726
MLP,"hidden=(128, 64, 32), alpha=0.0001, lr=0.0005, batch=64.0",0.3912425190032633,0.017792852995834486,0.7014297729184189,0.04635283365233094,0.501582125103865,0.015883779048661558,0.8083660252403686,0.01454247654790184,0.4514789990402459,0.011004314089708938
MLP,"hidden=(128, 64), alpha=0.001, lr=0.0005, batch=128.0",0.3900157054623253,0.01288923855731346,0.6782169890664423,0.03132023859899242,0.49472162255376356,0.006304872791186078,0.8012392489710767,0.009887340968380568,0.44238684071744905,0.012802469270771557
