rank_by_f1,accuracy,precision,recall,f1_score,roc_auc,average_precision,tn,fp,fn,tp,model,family,decision_threshold,val_best_f1,best_val_average_precision,epochs_trained,interpretation_note
1,0.7262745098039216,0.36264822134387353,0.6173254835996635,0.45689386865857456,0.7603925396608647,0.41786907668979484,3896,1290,455,734,LSTM,deep_learning_sequence,0.5900000000000002,0.4684292379471229,0.4140243065127776,29,최근 주문 sequence를 순서대로 읽는 recurrent model.
2,0.716392156862745,0.3546265852512917,0.6349873843566022,0.4550934297769741,0.7573292849967743,0.41354163748521333,3812,1374,434,755,BiGRU,deep_learning_sequence,0.5900000000000002,0.45985401459854014,0.40471740502596276,23,이미 알고 있는 target 이전 sequence 전체를 양방향으로 요약하는 GRU.
3,0.7349019607843137,0.36836573830793484,0.5895710681244744,0.4534282018111255,0.7600234278936271,0.4263313841423839,3984,1202,488,701,TransformerEncoder,deep_learning_sequence,0.6200000000000001,0.455688043828553,0.4086384287330435,19,Self-attention으로 최근 주문 sequence 내 위치 간 관계를 요약하는 model.
4,0.7016470588235294,0.3437088996054362,0.6593776282590412,0.45187319884726224,0.7542490829778173,0.4096420509849475,3689,1497,405,784,TCN,deep_learning_sequence,0.5100000000000001,0.4593190998268898,0.40212975388107963,21,시간축 1D convolution으로 주문 간격 패턴을 잡는 sequence model.
5,0.7341176470588235,0.3667017913593256,0.5853658536585366,0.4509232264334305,0.7581665978501347,0.4151419973594778,3984,1202,493,696,GRU,deep_learning_sequence,0.6000000000000002,0.46848602988953864,0.4103099476656211,37,LSTM보다 단순한 gate 구조의 recurrent model.
6,0.7063529411764706,0.34554500226142015,0.6425567703952901,0.44941176470588234,0.7506771644042624,0.39842932675578396,3739,1447,425,764,DeepMLP_SequenceFlatten,deep_learning,0.5600000000000002,0.46311475409836067,0.4011376301446488,16,Sequence를 펼쳐서 쓰는 강한 MLP 기준선.
